epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1
1,0.4553564623652898,0.7840729921165313,0.5170309890593802,0.7486130568786775,0.7614539122864294,0.7530943924227748,0.7572510822510824
2,0.3525556448211899,0.8474911183142805,0.4925305661346231,0.7758475763519193,0.856104455512182,0.6845334194381659,0.7607655502392343
3,0.31788523856617446,0.866560842326179,0.5016981381390776,0.788792378817596,0.899334683251374,0.6692498116456786,0.7674174637457575
4,0.3007576628135517,0.8758022418753141,0.4766572913953236,0.7878397310170916,0.8865327903384356,0.6794747605209343,0.7693151352668778
5,0.28953267095431146,0.8811325872272688,0.4927241183817387,0.7907537125245166,0.9276589195013083,0.6486922828543752,0.7634912591841905
6,0.2807815804256683,0.8853886821312489,0.4888556867837906,0.8005043429532082,0.896938634159856,0.6969109891292649,0.7843731072077529
7,0.2739364890843433,0.8889066744923322,0.4584567983235632,0.8076772205099467,0.8895093737534903,0.7200516628995802,0.7958600999286224
8,0.2683756194895122,0.8915140439571189,0.5073376259633473,0.7987671616699356,0.9238548483045806,0.6686040254009257,0.7757727130814861
9,0.2627045764515103,0.8943508477063241,0.5145044722727367,0.7926590081255254,0.9429567421961654,0.6405123237541707,0.7628509165491604
10,0.2580202327930531,0.8966016158220729,0.508182807373149,0.8022975623423928,0.9143062544931704,0.6844257883973738,0.7828388526406501
11,0.25409760457503205,0.8983036980715959,0.5005135234445334,0.8050994676379938,0.9112777699165133,0.6931439027015391,0.7873823205770876
12,0.2494403930004002,0.9003134712606881,0.45162882368479457,0.8142336789016531,0.9136212624584718,0.7103648692282855,0.7992733878292462
13,0.2454567510976407,0.9025179968074842,0.4804940895842654,0.8089100588400112,0.9164424302506727,0.6964804649660962,0.7914628180039138
14,0.24162881206674428,0.9042200790570073,0.48398496215896947,0.8124964976183805,0.9122174455692692,0.7079969863308578,0.7972366985819901
15,0.23752563303616767,0.9057531980738192,0.48604174527738775,0.8186606892687027,0.9270701086189872,0.7073512000861049,0.8024420024420025
16,0.23365527073007467,0.9076722646853504,0.48691684268414975,0.8136172597366209,0.9318083104097292,0.6927133785383705,0.7946660081491542
17,0.22951085679190675,0.9094108074219324,0.48751537001558715,0.8164191650322219,0.9193975735601729,0.7096114519427403,0.8009962337504557
18,0.22554994132492717,0.9110630899818142,0.5113823111035994,0.8146259456430373,0.9293813693124731,0.6969109891292649,0.7965309386148357
19,0.22136061548450636,0.9130719738907341,0.539764947018453,0.8094144017932194,0.931691586045148,0.6841028952749973,0.7889281946254577
20,0.21710419270105874,0.914691353084246,0.5050261218632971,0.8133931073129729,0.9306458604247941,0.6932515337423313,0.7945965951147298
21,0.21284928274672285,0.916701126273338,0.5323006721479552,0.816587279349958,0.9270508089696281,0.7030459584544183,0.7996572198077981
22,0.20863682656951085,0.9179959182040097,0.5312623764255218,0.816699355561782,0.9207436399217221,0.7089656656979872,0.8010945576162968
23,0.20499354411461834,0.9198758564879658,0.5479097249252456,0.8161950126085739,0.9275857163181107,0.7017543859649122,0.7990196078431372
24,0.20136825267404435,0.9212729156384365,0.5519489447453192,0.8155785934435416,0.9158580537843083,0.7111182865138306,0.8006058770069675
25,0.19784562020472912,0.922777577689739,0.573554381568517,0.8153544410198935,0.92440543601359,0.7028306963728339,0.7985325588505044
26,0.19485165417743874,0.9240937123445427,0.5664182668817895,0.8147380218548613,0.9181221182059522,0.7072435690453127,0.7990029182879378
27,0.19210351853858915,0.9251937519175104,0.5854861246688026,0.8141776407957411,0.9233385291200227,0.7013238618017437,0.7971617323219966
28,0.19028136767692916,0.9260314538396894,0.6043762874390398,0.8121602689829084,0.9268362800057496,0.6940049510278764,0.7936976858690299
29,0.18886457731145515,0.9266655106024428,0.6144891653209925,0.8126085738302046,0.9239982888920576,0.6974491443332257,0.7948969578017664
30,0.1882515393711428,0.9267677778222417,0.6006004297839743,0.8141216026898291,0.9211787930062042,0.7031535894952105,0.7975340291765856
